iter	RMSE
540	9274.513517
541	9255.238386
542	9238.890115
543	9215.050769
544	9197.186976
545	9173.907167
546	9152.649285
547	9140.502024
548	9126.54372
549	9111.464199
550	9099.203182
551	9072.554101
552	9054.535029
553	9031.180149
554	9017.616649
555	9003.104241
556	8987.361282
557	8976.278681
558	8964.694317
559	8942.681167
560	8921.527525
561	8907.347596
562	8895.074863
563	8880.370194
564	8875.233231
565	8855.04629
566	8839.96707
567	8824.933133
568	8808.093901
569	8793.422676
570	8781.918248
571	8768.08594
572	8746.919391
573	8733.744007
574	8721.145197
575	8704.125131
576	8694.615916
577	8681.544068
578	8667.05419
579	8655.095001
580	8639.057183
581	8627.31289
582	8608.546185
583	8594.352078
584	8576.599965
585	8563.639179
586	8549.55436
587	8534.969466
588	8516.394714
589	8500.078999
590	8486.113436
591	8473.879482
592	8470.022054
593	8460.263125
594	8446.940171
595	8434.934332
596	8417.2246
597	8401.126317
598	8388.122547
599	8370.175696
600	8367.276313
601	8354.262113
602	8345.738893
603	8335.80232
604	8323.647943
605	8309.929946
606	8291.319169
607	8282.665277
608	8267.004299
609	8253.774923
610	8233.01518
611	8217.681612
612	8191.459448
613	8179.648072
614	8178.096341
615	8156.60082
616	8143.867432
617	8129.846024
618	8115.430436
619	8099.361487
620	8091.085712
621	8084.166835
622	8072.424807
623	8056.517772
624	8042.58525
625	8027.327445
626	8009.004196
627	7997.798805
628	7983.600977
629	7968.245891
630	7961.69627
631	7946.748277
632	7932.385844
633	7912.005355
634	7901.286887
635	7888.381665
636	7872.601987
637	7862.719577
638	7850.002517
639	7839.578456
640	7813.969816
641	7801.13261
642	7787.418697
643	7777.426258
644	7764.305
645	7754.77776
646	7753.231391
647	7751.920096
648	7740.809601
649	7722.967868
650	7712.014458
651	7690.925075
652	7683.921248
653	7669.410544
654	7654.165099
655	7643.262401
656	7634.510212
657	7617.905304
658	7605.434985
659	7600.132912
660	7591.627703
661	7581.818505
662	7567.708632
663	7566.284419
664	7548.190478
665	7534.603972
666	7526.915859
667	7517.0453
668	7507.885855
669	7494.366989
670	7476.630769
671	7463.109125
672	7451.863061
673	7436.946376
674	7424.795032
675	7417.024813
676	7407.821082
677	7392.977172
678	7383.672655
679	7372.838509
680	7357.737725
681	7356.388906
682	7343.120277
683	7330.206602
684	7313.856876
685	7302.368609
686	7279.893261
687	7268.215106
688	7255.890919
689	7242.971432
690	7233.55046
691	7232.393245
692	7222.740272
693	7215.30598
694	7200.005056
695	7191.022124
696	7180.930617
697	7171.491772
698	7157.952111
699	7146.012295
700	7144.829171
701	7134.343933
702	7118.578121
703	7112.099401
704	7110.928056
705	7102.643544
706	7091.297105
